oclc_num,bibnumber,last_update,creator,title,extent,match_type,terms,context_snippets,rule_ids,match_speaker,match_context,match_impact
15480697,741956,2.01903E+13," Carlton, John L., http://id.loc.gov/authorities/names/n83159942 creator. ","John L. Carlton papers, 1847-1848.",5 items.,summary,anti-slavery,"Chiefly letters from George Gilman Fogg and James Peverly in Concord, N.H., to Carlton in Bath, N.H., relating to New Hampshire politics. Primary among their concerns were the 1847 election of Jared Warner Williams, a Democrat, as governor of New Hampshire and of others whom they refer to as the ""Hunkers."" The letters reflect a strong anti-slavery sentiment and mention publications they believe would be supportive of their beliefs on slavery as well as other issues.",SlaveryTerms,Archivist,Archivist language,Dehumanizing marginalized people
15480697,741956,2.01903E+13," Carlton, John L., http://id.loc.gov/authorities/names/n83159942 creator. ","John L. Carlton papers, 1847-1848.",5 items.,summary,slavery,"Chiefly letters from George Gilman Fogg and James Peverly in Concord, N.H., to Carlton in Bath, N.H., relating to New Hampshire politics. Primary among their concerns were the 1847 election of Jared Warner Williams, a Democrat, as governor of New Hampshire and of others whom they refer to as the ""Hunkers."" The letters reflect a strong anti-slavery sentiment and mention publications they believe would be supportive of their beliefs on slavery as well as other issues.",SlaveryTerms,Archivist,Archivist language,Dehumanizing marginalized people
15480697,741956,2.01903E+13," Carlton, John L., http://id.loc.gov/authorities/names/n83159942 creator. ","John L. Carlton papers, 1847-1848.",5 items.,summary,slavery,"Chiefly letters from George Gilman Fogg and James Peverly in Concord, N.H., to Carlton in Bath, N.H., relating to New Hampshire politics. Primary among their concerns were the 1847 election of Jared Warner Williams, a Democrat, as governor of New Hampshire and of others whom they refer to as the ""Hunkers."" The letters reflect a strong anti-slavery sentiment and mention publications they believe would be supportive of their beliefs on slavery as well as other issues.",SlaveryTerms,Archivist,Archivist language,Dehumanizing marginalized people
15480742,741957,2.0091E+13," Hood, George Henry. ","George Henry Hood papers, 1857-1895, bulk 1861-1863.",88 items.,summary,wife,"Consists primarily of family related correspondence (1861-1863) from Hood, to his wife ""Etta"" (Henrietta Janvrin Hood), while travelling on business, selling rubber products for a number of different firms, including the Rubber Clothing Company of Boston and New York, during the Civil War. Some letters offer Hood's perception of the Civil War, particularly when he was in Washington and St. Louis. A few relate to his daughter, Helen, a musical child prodigy, who became a composer.",GenderTerms,Archivist,Archivist language,Mention of marginalized identity
15482023,741978,2.0191E+13," Coates, Sue, http://id.loc.gov/authorities/names/nb2008018821 creator. ","S. Coates papers, 1871.",0.1 linear ft. (1 item),summary,wife,"Diary kept by S. Coates of Narragansett Pier, Rhode Island, the apparently affluent wife of Harry Coates. They traveled to Georgia; Florida; Yonkers, New York; as well as Philadelphia and Point Pleasant, Pennsylvania. The volume also contains descriptions of her active social life in Rhode Island; at the end are a few cash accounts and a list of names and addresses.",GenderTerms,Archivist,Archivist language,Dehumanizing marginalized people
15507707,743015,2.01901E+13," Aichel, Oskar, 1837-1895, http://id.loc.gov/authorities/names/n91097944 creator. ","Oskar Aichel correspondence, 1861-1863.",10 items.,summary,wife,"Chiefly letters from Oskar Aichel in Cokesbury and Charleston, S.C., to his fiance and wife Martha, relating to personal and family affairs and to life and events in war-time Charleston. Also includes an exchange of letters (1861) between Aichel and a friend ""Margarethe H.""",GenderTerms,Archivist,Archivist language,Mention of marginalized identity
15671455,748078,1.98705E+13,NULL,"Mississippi Valley travel diary, 1825-1826.",1 item (39 p.),summary,slaves,"Diary (1825, Dec. 27-1826, Mar. 3), of a newly married unidentified New England woman traveling from Boston with her husband to their new home in Clarksville, Mo. Describes the voyage, in particular the trip up the Mississippi River by steamboat, the countryside surrounding the river, New Orleans, including its people and customs, an incident involving slaves, and, in general, her reactions to Southern culture. The towns she passes aboard ship include Baton Rough, La., Natchez Miss., New Madrid, Mo., Cape Girardeau, Mo., Ste. Genevieve, Mo., Herculaneum, Mo., and St. Louis, Mo.",SlaveryTerms,Archivist,Archivist language,Dehumanizing marginalized people
15671631,748089,2.02004E+13," Hubbard, Elbert, 1856-1915, http://id.loc.gov/authorities/names/n81090312 creator. ","Elbert Hubbard letters, 1901-1917.",9 items,summary,wife,Eight letters from Hubbard and one from his wife Alice to George Bicknell primarily relating to Roycroft publications and to Hubbard's lecturing activities.,GenderTerms,Archivist,Archivist language,Mention of marginalized identity
15673669,748142,1.98705E+13," Murdoch, Susan Butterworth, 1836-approximately 1912. ","Papers, 1894-1912 and undated.",5 items.,summary,wife,"Diary, 1894-1900 (ca. 320 p.), kept by Susan B. Murdoch, and four miscellaneous items. The diary, written primarily from Maineville, Ohio, describes daily routines of a homemaker and wife as well as family concerns. There are additional entries for Benjamin Butterworth (1837-1898) ; the 2d Ohio Volunteer Infantry Regiment; floods; elections and women voting; and medical home remedies. An undated essay by Murdoch's husband describes pioneer life in Ohio.",GenderTerms,Archivist,Archivist language,Mention of marginalized identity
15673669,748142,1.98705E+13," Murdoch, Susan Butterworth, 1836-approximately 1912. ","Papers, 1894-1912 and undated.",5 items.,summary,pioneer,"Diary, 1894-1900 (ca. 320 p.), kept by Susan B. Murdoch, and four miscellaneous items. The diary, written primarily from Maineville, Ohio, describes daily routines of a homemaker and wife as well as family concerns. There are additional entries for Benjamin Butterworth (1837-1898) ; the 2d Ohio Volunteer Infantry Regiment; floods; elections and women voting; and medical home remedies. An undated essay by Murdoch's husband describes pioneer life in Ohio.",Aggrandizement,Archivist,Archivist language,Aggrandizing institution
15681474,748237,1.98705E+13," Olmstead, Henry, active 1850. ","Travel journal, 1857, May 7-Sept. 26.",1 item.,summary,wife,"Journal of a European tour Olmstead took with his wife Martha, written in the form of copies of letters to relatives and friends in the United States. Describes their voyage on the steamship AMERICA and their tours of England, France, Belgium, the Netherlands, Germany, Switzerland, Scotland, and Ireland.",GenderTerms,Archivist,Archivist language,Mention of marginalized identity
15681521,748238,2.01905E+13," Gilbert, H. L., Mrs, creator. ",Mrs. H. L. Gilbert letter 1864 Dec. 8.,1 item.,bionote,wife,Teacher and wife of William Gilbert.,GenderTerms,Archivist,Archivist language,Dehumanizing marginalized people
15747036,749609,1.98705E+13," Smith, Evin, 1831-1865. ","Letters, 1862-1868 bulk 1862-1865.",14 items.,summary,wife,"Chiefly letters, 1862-1865, from Smith to his wife about personal and family matters and military camp life in various places in North Carolina and Virginia, where he was in the battle at Fredericksburg in Dec. 1862. Also includes some letters from his brother-in-law, Solmon Page, serving with the 42nd North Carolina Infantry, Co. C.",GenderTerms,Archivist,Archivist language,Dehumanizing marginalized people
15789215,749773,2.01905E+13," Gardner, Susan Folger, 1811- creator. ","Susan Folger Gardner diary, 1853 Jan. 10-Apr. 12.",1 item.,summary,abolition,"Diary (44 pp.) chiefly describing Gardner's daily routines and life in Nantucket during the mid-19th century. She describes arrivals of whaling ships, health of people in community, and pastimes. Details enthusiastic welcome Lucy Stone received when she came to Nantucket to lecture about women's rights and abolition.",SlaveryTerms,Archivist,Archivist language,Mention of marginalized issues
