eadid,bib_number,collection_title,match_count,match_type,match_phrase,snippet
alligooddouglass,005857152,Douglass L. Alligood papers,2,title_match,Negro,"the City, 2006 Audiovisual Materials, 1963 Adventures in Negro History. Produced by Highlight Radio Productions, Detroit"
amberg,003789049,Rob Amberg photographs and papers,1,title_match,Planter,"at the warehouse, 1988 At the main entrance to Planter Warehouse, 1994 Warehouse worker unloading tobacco, 1981 Handed"
americansforimmigrantjustice,004941636,Americans For Immigrant Justice records,1,title_match,slavery,Cuban disparities Hate crimes Hospital deportees Human trafficking and modern slavery articles ICE FOIA case ICLASP grant application ICLASP info IJ
americanslaverydocs,002779193,American slavery documents collection,16,note_match,Slavery,". Undated items are listed last.', 'Slavery was a widespread practice in colonial and Revolutionary America."
americanslaverydocs,002779193,American slavery documents collection,16,note_match,slavery,United States were descended from Africans who were forced into slavery and brought to America against their will. The system
americanslaverydocs,002779193,American slavery documents collection,16,note_match,slavery,America against their will. The system of American chattel slavery meant that any children of enslaved people would also be
americanslaverydocs,002779193,American slavery documents collection,16,note_match,enslaved,"system of American chattel slavery meant that any children of enslaved people would also be enslaved, automatically at birth."
americanslaverydocs,002779193,American slavery documents collection,16,note_match,enslaved,"meant that any children of enslaved people would also be enslaved, automatically at birth. Importation of enslaved people from"
americanslaverydocs,002779193,American slavery documents collection,16,note_match,enslaved,"also be enslaved, automatically at birth. Importation of enslaved people from outside the country was federally prohibited in 1808"
americanslaverydocs,002779193,American slavery documents collection,16,note_match,slavery,"early nineteenth century. Although all Northern states had abolished slavery by the 1800s, slavery was actively practiced in Southern"
americanslaverydocs,002779193,American slavery documents collection,16,note_match,slavery,"all Northern states had abolished slavery by the 1800s, slavery was actively practiced in Southern and Western states, causing"
americanslaverydocs,002779193,American slavery documents collection,16,note_match,enslaved,War. The 1863 Emancipation Proclamation by Abraham Lincoln freed enslaved people in rebel territories; this was followed by the
americanslaverydocs,002779193,American slavery documents collection,16,note_match,slavery,"this was followed by the Thirteenth Amendment in 1865 outlawing slavery throughout the entire United States.', 'Collection"
americanslaverydocs,002779193,American slavery documents collection,16,note_match,Slavery,"Book & Manuscript Library.', 'The American Slavery Documents Collection was received by the David M. Rubenstein Rare"
americanslaverydocs,002779193,American slavery documents collection,16,note_match,Slavery,"', '[Identification of item], American Slavery Documents Collection, David M. Rubenstein Rare Book & Manuscript"
americanslaverydocs,002779193,American slavery documents collection,16,note_match,enslaved,brings to light details of the lives and deaths of enslaved and free Africans and African Americans in the southern United
americanslaverydocs,002779193,American slavery documents collection,16,note_match,Bill of sale,"and date (if known). ', 'Bill of sale for ""seven hundred dollars in full for one negro"
americanslaverydocs,002779193,American slavery documents collection,16,note_match,negro,"sale for ""seven hundred dollars in full for one negro boy named Leander"" from N.C. Trowbridge to E.H. Simmons"
americanslaverydocs,002779193,American slavery documents collection,16,note_match,Bill of sale,"from N.C. Trowbridge to E.H. Simmons.', 'Bill of sale includes notation that Walker guaranteed Lucy to ""be sound"
=======
agry,000812465,Alliance for Guidance of Rural Youth records,6,title_match,Negro,"original title], 1930-1938,                      undated Negro youth [original title], 1937-1940 North"
agry,000812465,Alliance for Guidance of Rural Youth records,6,title_match,Negro,"data compilations, circa                      1935 Subject Files Series. Negro occupations [original title], 1928-1942,"
ahstephens,000875820,Alexander H. Stephens papers,3,note_match,slavery,"1823-1839: Topics include States' Rights, slavery, and an Indian war in\n Florida [possibly the"
ahstephens,000875820,Alexander H. Stephens papers,3,note_match,slaves,"Dorr and the People\'s Party, the\n purchasing of slaves, the 1843 Boston visit of President John Tyler and"
ahstephens,000875820,Alexander H. Stephens papers,3,note_match,slaves,"Jordan, both of whom were not only brothers but slaves as well. The letter is likely\n written by someone"
aitkenfamily,008297039,Aitken family letter and will,1,note_match,slaves,"his plans to obtain a plantation\n and purchase or hire slaves, preparations for war with Great Britain, and payment"
alfredelizabethbrandcolcivilwarleefamily,003054462,Alfred and Elizabeth Brand Collection of Civil War and Lee Family papers,6,note_match,slaves,"and Richard Henry Lee, Sr. Documents pertain to slaves; maps\n and surveys of leased land; and loan"
alfredelizabethbrandcolcivilwarleefamily,003054462,Alfred and Elizabeth Brand Collection of Civil War and Lee Family papers,6,note_match,bill of sale,in the Lee family papers include loan indentures; a\n bill of sale for cotton to the Confederate government; two cartes-
alfredelizabethbrandcolcivilwarleefamily,003054462,Alfred and Elizabeth Brand Collection of Civil War and Lee Family papers,6,note_match,slaves,"Lee, Jr., discussing the sale of his sister's\n slaves; and a letter from Robert Edward Lee to Samuel"
alfredelizabethbrandcolcivilwarleefamily,003054462,Alfred and Elizabeth Brand Collection of Civil War and Lee Family papers,6,note_match,slaves,"Lee's sister and the sale of her\n servants [slaves]. Lee writes, I feel great\n reluctance to"
alfredelizabethbrandcolcivilwarleefamily,003054462,Alfred and Elizabeth Brand Collection of Civil War and Lee Family papers,6,note_match,slaves,Lee's sister and the sale of her\n servants [slaves]. Lee also lists the names of his children
alfredelizabethbrandcolcivilwarleefamily,003054462,Alfred and Elizabeth Brand Collection of Civil War and Lee Family papers,6,note_match,slaves,"The suspects\n are Joe, Sam, and Pendoe, slaves belonging to George West. Authorized\n and [signed]"
alfredelizabethbrandcolcivilwarleefamily,003054462,Alfred and Elizabeth Brand Collection of Civil War and Lee Family papers,5,title_match,freedman,"Newspaper clipping recounting the burial of Robert Damell,                            freedman and private in the U.S. Army's Ninth and Tenth"
alfredelizabethbrandcolcivilwarleefamily,003054462,Alfred and Elizabeth Brand Collection of Civil War and Lee Family papers,5,title_match,Bill of sale,"of General Order no. 9, 1865 April 10 Bill of sale for Lee's 64 bales of cotton to the Confederate"
alfredelizabethbrandcolcivilwarleefamily,003054462,Alfred and Elizabeth Brand Collection of Civil War and Lee Family papers,5,title_match,negro,", and John                            Carroll, as owner, of negro Jesse, 1796                            December 19 Oversize Materials Series Civil"
alfredelizabethbrandcolcivilwarleefamily,003054462,Alfred and Elizabeth Brand Collection of Civil War and Lee Family papers,5,title_match,slaves,Lee and others as Justices in the trial of                               slaves who have committed capital crimes in the Dominion of Virginia
alfredelizabethbrandcolcivilwarleefamily,003054462,Alfred and Elizabeth Brand Collection of Civil War and Lee Family papers,5,title_match,slaves,Lee and others as Justices in the trial of                               slaves who have committed capital crimes in the Dominion of Virginia
allang,000842410,Allen-Angier family papers,1,note_match,slavery,"of May 10, 1970, is a petition against slavery by the Baptist Church of Augusta, Maine, dated"
allen,001582405,Gay Wilson Allen papers,2,title_match,Slavery,", undated  Rise, Lurid Stars, undated  Slavery, 1860?  Some 'Leaves of Grass,"
allen,001582405,Gay Wilson Allen papers,2,title_match,Negro,M. Moore Mystics National Literature 1837-1855 Nature Naturalism Negro Neurotic Personality New York Review New York Times Niebuhr Nietzsche
alligooddouglass,005857152,Douglass L. Alligood papers,2,title_match,Negro,"Publications,                      1989 Hispanics and Network Television, 2003 Negro Media Analysis for Chrysler Motors Corporation, 1963 Pepsi-"
alligooddouglass,005857152,Douglass L. Alligood papers,2,title_match,Negro,"the City, 2006 Audiovisual Materials, 1963 Adventures in Negro History. Produced by Highlight Radio Productions,                      Detroit"
amberg,003789049,Rob Amberg photographs and papers,1,title_match,Planter,"at the warehouse, 1988 At the main entrance to Planter Warehouse, 1994 Warehouse worker unloading tobacco, 1981 Handed"
americansforimmigrantjustice,004941636,Americans For Immigrant Justice records,1,title_match,slavery,Cuban disparities Hate crimes Hospital deportees Human trafficking and modern slavery articles ICE FOIA case ICLASP grant application ICLASP info IJ
americanslaverydocs,002779193,American slavery documents collection,16,note_match,Slavery,". Undated items are listed last.', 'Slavery was a widespread practice in colonial and Revolutionary America."
americanslaverydocs,002779193,American slavery documents collection,16,note_match,slavery,United States were descended from Africans who were forced into slavery and\n brought to America against their will. The system
americanslaverydocs,002779193,American slavery documents collection,16,note_match,slavery,America against their will. The system of American chattel slavery meant that any\n children of enslaved people would also be
americanslaverydocs,002779193,American slavery documents collection,16,note_match,enslaved,"system of American chattel slavery meant that any\n children of enslaved people would also be enslaved, automatically at birth."
americanslaverydocs,002779193,American slavery documents collection,16,note_match,enslaved,"meant that any\n children of enslaved people would also be enslaved, automatically at birth. Importation of\n enslaved people from"
americanslaverydocs,002779193,American slavery documents collection,16,note_match,enslaved,"also be enslaved, automatically at birth. Importation of\n enslaved people from outside the country was federally prohibited in 1808"
americanslaverydocs,002779193,American slavery documents collection,16,note_match,slavery,"early nineteenth\n century. Although all Northern states had abolished slavery by the 1800s, slavery was\n actively practiced in Southern"
americanslaverydocs,002779193,American slavery documents collection,16,note_match,slavery,"all Northern states had abolished slavery by the 1800s, slavery was\n actively practiced in Southern and Western states, causing"
americanslaverydocs,002779193,American slavery documents collection,16,note_match,enslaved,War. The 1863 Emancipation\n Proclamation by Abraham Lincoln freed enslaved people in rebel territories; this was\n followed by the
americanslaverydocs,002779193,American slavery documents collection,16,note_match,slavery,"this was\n followed by the Thirteenth Amendment in 1865 outlawing slavery throughout the entire United\n States.', 'Collection"
americanslaverydocs,002779193,American slavery documents collection,16,note_match,Slavery,"Book & Manuscript Library.', 'The American Slavery Documents Collection was received by the David M. Rubenstein Rare"
americanslaverydocs,002779193,American slavery documents collection,16,note_match,Slavery,"', '[Identification of item], American Slavery Documents Collection, David M. Rubenstein Rare\n Book & Manuscript"
americanslaverydocs,002779193,American slavery documents collection,16,note_match,enslaved,brings to light details of the lives and deaths of enslaved and free\n Africans and African Americans in the southern United
americanslaverydocs,002779193,American slavery documents collection,16,note_match,Bill of sale,"and date (if known). ', 'Bill of sale for ""seven hundred dollars in full for one negro"
americanslaverydocs,002779193,American slavery documents collection,16,note_match,negro,"sale for ""seven hundred dollars in full for one negro boy named Leander"" from\n N.C. Trowbridge to E.H. Simmons"
americanslaverydocs,002779193,American slavery documents collection,16,note_match,Bill of sale,"from\n N.C. Trowbridge to E.H. Simmons.', 'Bill of sale includes notation that Walker guaranteed Lucy to ""be sound"
>>>>>>> 17730f9e608de1a5c931968e1b4a1cdd0bb406dc
americanslaverydocs,002779193,American slavery documents collection,184,title_match,slavery,
americanslaverydocs,002779193,American slavery documents collection,184,title_match,Slavery,
americanslaverydocs,002779193,American slavery documents collection,184,title_match,Bill of sale,
americanslaverydocs,002779193,American slavery documents collection,184,title_match,Bill of sale,"sale, Court of Common Plea, Court at Camden Bill of sale for one slave: Bett, 8 year old girl"
<<<<<<< HEAD
americanslaverydocs,002779193,American slavery documents collection,184,title_match,Bill of sale,"Lancaster        to Thomas Cook for Â£32, 10 shillings Bill of sale for an enslaved person, Leander, from N.C. Trowbridge"
americanslaverydocs,002779193,American slavery documents collection,184,title_match,enslaved,"for Â£32, 10 shillings Bill of sale for an enslaved person, Leander, from N.C. Trowbridge to E.H.        "
americanslaverydocs,002779193,American slavery documents collection,184,title_match,Bill of sale,", Leander, from N.C. Trowbridge to E.H.        Simmons Bill of sale for one slave girl: 11 y.o., 32"
americanslaverydocs,002779193,American slavery documents collection,184,title_match,Bill of sale,"10 shillings, from        Absalom Lancaster to Thomas Cook Bill of sale for one slave, from Aroh Currison to Thomas Cook"
americanslaverydocs,002779193,American slavery documents collection,184,title_match,Bill of sale,", from Aroh Currison to Thomas Cook,        N.C. Bill of sale for three slaves: Toby, James, and Jacob"
americanslaverydocs,002779193,American slavery documents collection,184,title_match,slaves,"Thomas Cook,        N.C. Bill of sale for three slaves: Toby, James, and Jacob, from Zachariah"
americanslaverydocs,002779193,American slavery documents collection,184,title_match,Bill of sale,", from Zachariah Flurry        to James Prown, S.C. Bill of sale for multiple slaves,, from Dan Heyer, S.C."
americanslaverydocs,002779193,American slavery documents collection,184,title_match,slaves,"to James Prown, S.C. Bill of sale for multiple slaves,, from Dan Heyer, S.C. Bill of sale"
americanslaverydocs,002779193,American slavery documents collection,184,title_match,Bill of sale,"for multiple slaves,, from Dan Heyer, S.C. Bill of sale for one slave: Hal, from William Merrit to"
americanslaverydocs,002779193,American slavery documents collection,184,title_match,Bill of sale,"William Merrit to Rob Long, Chatham        County N.C. Bill of sale for one slave woman: Catey, 60 pounds and"
americanslaverydocs,002779193,American slavery documents collection,184,title_match,Bill of sale,"18 shillings, from        Abiyah Holbrook to Samuel Boykin Bill of sale for one slave: Glasgow, 48 pounds currency Import"
americanslaverydocs,002779193,American slavery documents collection,184,title_match,Bill of sale,"Vaughn from        Bourdenaux, bound for Port au Prince Bill of sale for one slave boy, 70 pounds currency, from"
americanslaverydocs,002779193,American slavery documents collection,184,title_match,Bill of sale,"court September, 1803, Albemarle County,        Va. Bill of sale for three slaves: one woman, Vilet; one"
americanslaverydocs,002779193,American slavery documents collection,184,title_match,slaves,"Albemarle County,        Va. Bill of sale for three slaves: one woman, Vilet; one girl, two"
americanslaverydocs,002779193,American slavery documents collection,184,title_match,Bill of sale,"by John Nicholas, Albemarle Co.,        Va. Indenture Bill of sale for two slaves: Mary and her daughter Eliza,"
americanslaverydocs,002779193,American slavery documents collection,184,title_match,slaves,"Co.,        Va. Indenture Bill of sale for two slaves: Mary and her daughter Eliza, to Henry Dana"
americanslaverydocs,002779193,American slavery documents collection,184,title_match,Bill of sale,"to Henry Dana Ward,        S.C., Northern Circuit Bill of sale for one slave boy, $350, to James"
=======
americanslaverydocs,002779193,American slavery documents collection,184,title_match,Bill of sale,"Lancaster               to Thomas Cook for Â£32, 10 shillings Bill of sale for an enslaved person, Leander, from N.C. Trowbridge"
americanslaverydocs,002779193,American slavery documents collection,184,title_match,enslaved,"for Â£32, 10 shillings Bill of sale for an enslaved person, Leander, from N.C. Trowbridge to E.H.               "
americanslaverydocs,002779193,American slavery documents collection,184,title_match,Bill of sale,", Leander, from N.C. Trowbridge to E.H.               Simmons Bill of sale for one slave girl: 11 y.o., 32"
americanslaverydocs,002779193,American slavery documents collection,184,title_match,Bill of sale,"10 shillings, from               Absalom Lancaster to Thomas Cook Bill of sale for one slave, from Aroh Currison to Thomas Cook"
americanslaverydocs,002779193,American slavery documents collection,184,title_match,Bill of sale,", from Aroh Currison to Thomas Cook,               N.C. Bill of sale for three slaves: Toby, James, and Jacob"
americanslaverydocs,002779193,American slavery documents collection,184,title_match,slaves,"Thomas Cook,               N.C. Bill of sale for three slaves: Toby, James, and Jacob, from Zachariah"
americanslaverydocs,002779193,American slavery documents collection,184,title_match,Bill of sale,", from Zachariah Flurry               to James Prown, S.C. Bill of sale for multiple slaves,, from Dan Heyer, S.C."
americanslaverydocs,002779193,American slavery documents collection,184,title_match,slaves,"to James Prown, S.C. Bill of sale for multiple slaves,, from Dan Heyer, S.C. Bill of sale"
americanslaverydocs,002779193,American slavery documents collection,184,title_match,Bill of sale,"for multiple slaves,, from Dan Heyer, S.C. Bill of sale for one slave: Hal, from William Merrit to"
americanslaverydocs,002779193,American slavery documents collection,184,title_match,Bill of sale,"William Merrit to Rob Long, Chatham               County N.C. Bill of sale for one slave woman: Catey, 60 pounds and"
americanslaverydocs,002779193,American slavery documents collection,184,title_match,Bill of sale,"18 shillings, from               Abiyah Holbrook to Samuel Boykin Bill of sale for one slave: Glasgow, 48 pounds currency Import"
americanslaverydocs,002779193,American slavery documents collection,184,title_match,Bill of sale,"Vaughn from               Bourdenaux, bound for Port au Prince Bill of sale for one slave boy, 70 pounds currency, from"
americanslaverydocs,002779193,American slavery documents collection,184,title_match,Bill of sale,"court September, 1803, Albemarle County,               Va. Bill of sale for three slaves: one woman, Vilet; one"
americanslaverydocs,002779193,American slavery documents collection,184,title_match,slaves,"Albemarle County,               Va. Bill of sale for three slaves: one woman, Vilet; one girl, two"
americanslaverydocs,002779193,American slavery documents collection,184,title_match,Bill of sale,"by John Nicholas, Albemarle Co.,               Va. Indenture Bill of sale for two slaves: Mary and her daughter Eliza,"
americanslaverydocs,002779193,American slavery documents collection,184,title_match,slaves,"Co.,               Va. Indenture Bill of sale for two slaves: Mary and her daughter Eliza, to Henry Dana"
americanslaverydocs,002779193,American slavery documents collection,184,title_match,Bill of sale,"to Henry Dana Ward,               S.C., Northern Circuit Bill of sale for one slave boy, $350, to James"
>>>>>>> 17730f9e608de1a5c931968e1b4a1cdd0bb406dc
americanslaverydocs,002779193,American slavery documents collection,184,title_match,Bill of sale,"one slave boy, $350, to James Parrant Bill of sale for two slave boys, $520 Two bills of"
americanslaverydocs,002779193,American slavery documents collection,184,title_match,bills of sale,"of sale for two slave boys, $520 Two bills of sale transactions on one leaf, for Harriet, aged 20"
americanslaverydocs,002779193,American slavery documents collection,184,title_match,slaves,"Account balancing slip of paper Decree of gift of five slaves: Phill, woman, Luckey, young woman,"
americanslaverydocs,002779193,American slavery documents collection,184,title_match,Bill of sale,", Va. to Mrs. Patey Brickall and her three children Bill of sale for one slave woman, $400, Tenn. Bill"
americanslaverydocs,002779193,American slavery documents collection,184,title_match,Bill of sale,"sale for one slave woman, $400, Tenn. Bill of sale for one slave boy: Abraham, 90 pounds,"
<<<<<<< HEAD
americanslaverydocs,002779193,American slavery documents collection,184,title_match,Bill of sale,"Manea        to John Kelly, Granville County, N.C. Bill of sale for one slave girl, $287, from David"
americanslaverydocs,002779193,American slavery documents collection,184,title_match,Bill of sale,"District N.C. to Hardy Clemmond of Pendleton District, S.C. Bill of sale for one slave woman: Serena, and her child"
americanslaverydocs,002779193,American slavery documents collection,184,title_match,Bill of sale,"$440, from M. Stokes        to Samuel Guy Bill of sale for one slave girl, $350, to Samuel"
americanslaverydocs,002779193,American slavery documents collection,184,title_match,Bill of sale,", NY Slip of paper: ""Thomas Thomson"" Bill of sale for one slave man: Dave, 27 y.o."
americanslaverydocs,002779193,American slavery documents collection,184,title_match,Bill of sale,"y.o., $400, to William        Sutton Bill of sale for one slave: Hannah, from William Brumfield to"
americanslaverydocs,002779193,American slavery documents collection,184,title_match,Bill of sale,": Hannah, from William Brumfield to Richard        Jones Bill of sale for tract of land and two slaves: Harriet,"
americanslaverydocs,002779193,American slavery documents collection,184,title_match,slaves,"Jones Bill of sale for tract of land and two slaves: Harriet, girl, and Tanney,        woman"
americanslaverydocs,002779193,American slavery documents collection,184,title_match,abolition,"poem, The Blood Brother, in support of        abolition Bill of sale for one slave boy: Henry,"
americanslaverydocs,002779193,American slavery documents collection,184,title_match,Bill of sale,", The Blood Brother, in support of        abolition Bill of sale for one slave boy: Henry, 14 y.o."
americanslaverydocs,002779193,American slavery documents collection,184,title_match,Bill of sale,"Bennett to        Richard Jones, Pittsylvania County, Va. Bill of sale for one slave woman: Sue, $300,"
americanslaverydocs,002779193,American slavery documents collection,184,title_match,slaves,", Georgetown District, S.C.; also gives the former slaves $50 from her        estate Bill of sale for"
americanslaverydocs,002779193,American slavery documents collection,184,title_match,Bill of sale,"gives the former slaves $50 from her        estate Bill of sale for two slaves: woman Amy, 27 y.o."
americanslaverydocs,002779193,American slavery documents collection,184,title_match,slaves,"50 from her        estate Bill of sale for two slaves: woman Amy, 27 y.o. and her child"
americanslaverydocs,002779193,American slavery documents collection,184,title_match,Bill of sale,"400, from Joseph and Margaret Lawrence to Samuel Guy Bill of sale for one slave girl: Esther, 20 y.o."
americanslaverydocs,002779193,American slavery documents collection,184,title_match,Bill of sale,", from William Astin        of Va. to Samuel Grey Bill of sale for one slave: Daniel, from Millie Allen to"
americanslaverydocs,002779193,American slavery documents collection,184,title_match,slaves,"Allen to Robert        Park List of assets, including slaves, of Adam Corraths Paper certifying that the children of"
americanslaverydocs,002779193,American slavery documents collection,184,title_match,Bill of sale,"named Susan, Israel        and Rachel, were free Bill of sale for one slave woman: Bell, 24 y.o."
americanslaverydocs,002779193,American slavery documents collection,184,title_match,Bill of sale,"Clarke to        John Bethan, Moore County, Md. Bill of sale for one slave boy: Bedford, $309,"
americanslaverydocs,002779193,American slavery documents collection,184,title_match,Bill of sale,", from Mark Weatherly to Martin        Weatherly, N.C. Bill of sale for slaves, $597.92, from John Cawley,"
americanslaverydocs,002779193,American slavery documents collection,184,title_match,slaves,"to Martin        Weatherly, N.C. Bill of sale for slaves, $597.92, from John Cawley, S.C. Bill"
americanslaverydocs,002779193,American slavery documents collection,184,title_match,Bill of sale,"slaves, $597.92, from John Cawley, S.C. Bill of sale for one slave woman: Jenny, $300,"
