oclc_num,bibnumber,last_update,creator,title,extent,match_type,terms,context_snippets,rule_ids
19317001,000847150,19890307000000.0," Cable, George Washington, 1844-1925. http://id.loc.gov/authorities/names/n79076138 ","Papers, 1879-1922.",57 items.,summary,racial,"as a reformer, with references to southern prisons, racial problems, and criticism of himself by southern newspapers.",RaceEuphemisms
19405743,000849832,20191022144940.0," Crydenwise, Henry M., creator. ","Henry M. Crydenwise papers, 1861-1867.",0.1 linear ft. (43 items),summary,Colored,", subsequent service in the 96th United States Regiment (Colored) and th Corps D'Afrique, and post-war",RaceEuphemisms
19405968,000849857,20191022144936.0," Cutler, Frederick, http://id.loc.gov/authorities/names/no97007027 creator. ","Frederick Cutler papers, 1863-1864.",0.1 linear ft. (11 items),summary,Negro,"in New Orleans, 1863, and commenting on the Negro troops of the 4th Louisiana Regiment (Colored).",RaceEuphemisms
19405968,000849857,20191022144936.0," Cutler, Frederick, http://id.loc.gov/authorities/names/no97007027 creator. ","Frederick Cutler papers, 1863-1864.",0.1 linear ft. (11 items),summary,Colored,on the Negro troops of the 4th Louisiana Regiment (Colored). The massacre of African American troops at Fort,RaceEuphemisms
19406266,000849878,20191022144813.0," Dimon, Charles Augustus Ropes, creator. ","Charles Augustus Ropes Dimon Papers, 1864-1878.",0.1 linear ft. (19 items),summary,Colored,"; discussing the activities of the 86th U.S. Regiment (Colored), 1867; and an order from General John",RaceEuphemisms
19465007,000851094,20170503141759.0," Chaloner, John Armstrong, 1862-1935, http://id.loc.gov/authorities/names/n88156263 creator. ","John Armstrong Chaloner papers, 1876-1933 and undated.",12 linear ft.,bionote,troubles,""" in the aftermath of psychiatric experiments and own legal troubles regarding his sanity. Great-grandson of John Jacob",RaceEuphemisms
19491003,000851715,20120511103655.0," Cumming, Alfred, 1802-1873. http://id.loc.gov/authorities/names/nr88006603 ","Alfred Cumming papers, 1792-1889.",760 items.,summary,troubles,was named governor with details of frontier conditions and Indian troubles. Cumming's official letter books contain correspondence to James,RaceEuphemisms
19536414,000853474,20201110132504.0," Dixon, Thomas, Jr., 1864-1946. http://id.loc.gov/authorities/names/n50027342 ","Thomas Dixon Jr. Papers, 1880s-1959.",3.0 linear ft (239 items),summary,Negro,"Love Complex, God's Fool: A Drama of Negro Life in Modern Harlem, Shanghai Express, The Great",RaceEuphemisms
19536478,000853489,20071113085305.0," Du Bois, Egbert. ","Egbert Du Bois correspondence, 1860-1901; (bulk 1866-1891).",523 items.,summary,race relations,"references to the temperance movement, and information about postwar race relations. Also, Civil War letters from William O. Rahn",RaceEuphemisms
19536497,000853492,20161102121612.0," Elliott, Thomas Rhett Smith, 1819- ","Thomas Rhett Smith Elliott correspondence, 1785-1889 and undated.",".7 linear ft.,108 items.",summary,race relations,"during and after the Civil War, with references to race relations and to life and politics during Reconstruction. Includes letters",RaceEuphemisms
19595545,000855586,20190329110442.0," Harris, Rencher Nicholas, 1900-1965. ","Rencher Nicholas Harris Papers, 1851-1980 ; (bulk 1926-1965).","2,112 items (16.5 lin. ft.)",summary,race relations,"with emphasis on school desegregation, civil rights, and race relations in Durham. Also represented is Harris' business career",RaceEuphemisms
19643018,000856911,20110823164750.0," Hemphill (Family : Hemphill, John, 1803-1862) ","Hemphill family papers, 1784-1958.","12,178 items (30.0 lin. ft.)",summary,race situation,"and military campaigns in the Confederacy, Reconstruction, the race situation, and journalism. Correspondents include William Jennings Bryan,",RaceEuphemisms
19643200,000856932,20181203101858.0," Hunter, Charles N., approximately 1851-1931, http://id.loc.gov/authorities/names/n85269236 creator. ","Charles N. Hunter Papers, 1850s-1932 and undated.",7.3 linear feet.,summary,race relations,"the early 20th century, encompassing agriculture, business, race relations, reconstruction, education, politics, voting rights,",RaceEuphemisms
19643200,000856932,20181203101858.0," Hunter, Charles N., approximately 1851-1931, http://id.loc.gov/authorities/names/n85269236 creator. ","Charles N. Hunter Papers, 1850s-1932 and undated.",7.3 linear feet.,summary,Negro,", the North Carolina Industrial Association, and the N.C. Negro State Fair. Significant correspondents include Charles B. Aycock,",RaceEuphemisms
19643200,000856932,20181203101858.0," Hunter, Charles N., approximately 1851-1931, http://id.loc.gov/authorities/names/n85269236 creator. ","Charles N. Hunter Papers, 1850s-1932 and undated.",7.3 linear feet.,summary,Negro,speech given by Frederick Douglass in 1880 at the 2nd Negro State Fair.,RaceEuphemisms
19647175,000857094,19890503000000.0," Frost, Charles S. ","Papers, 1873-1913.",216 items.,summary,race relations,", a member of the New York legislature, mentioning race relations, and one of Benjamin B. Odell, chairman of",RaceEuphemisms
19657403,000857299,20190501162016.0," Goodrich, Isaac E., creator. ","Isaac E. Goodrich papers, 1856-1894.",45 items.,summary,troubles,"of Monticello, Minnesota, 1864, commenting on Indian troubles on the plains, and a description, 1856,",RaceEuphemisms
19865929,000863117,19890614000000.0," Kittrell, Charlotte Wilson Powe. ","Papers, 1902-1961.",55 items.,summary,racial,"history, reminiscences and descriptions of Cheraw (S.C.) racial segregation, relatives and family servants, bishops of the",RaceEuphemisms
19931272,000864896,20140529085039.0," Kilby, John Richardson, 1819-1878. http://id.loc.gov/authorities/names/no2017035403 ","Papers, 1755-1919 ; (bulk 1840-1889).","39,504 items.",summary,Negro,", especially during W.J. Kilby's career; and the Negro Reformatory Association of Virginia.",RaceEuphemisms
19934339,000865052,19890627000000.0," Macgill, Charles. ","Papers, 1793-1906; (bulk 1830-1878).","1,038 items.",summary,troubles,"governor, relating to politics and to Thomas' marital troubles.",RaceEuphemisms
19934426,000865058,19890627000000.0," McKie, Thomas Jefferson. ","Papers, 1825-1895; (bulk 1868-1893).",796 items.,summary,racial,"south, irresponsibility of and radical influence among blacks, racial relations, activities of white groups to regain political control",RaceEuphemisms
19936274,000865115,19890628000000.0," Legg, Charles A. ","Correspondence, 1861-1864.",62 items.,summary,troubles,"Subjects discussed include dishonesty of Army contractors and quartermasters, troubles of the Army of the Potomac, his feelings toward",RaceEuphemisms
20019140,000868008,20140728162621.0," Martin, John Sanford, 1886-1957. ","John Sanford Martin papers, 1915-1958 and undated.","Approx. 8,602 items (12.0 lin. ft.)",summary,racial,"Martin served. After 1940 there is much material on racial problems in Winston-Salem, and throughout North Carolina",RaceEuphemisms
20019188,000868026,20131112124257.0, Munford-Ellis (Family) ,"Munford-Ellis family papers, 1777-1942.","12,522 items (30.0 lin. ft.)",summary,colored,Most of the subjects are identified and some are hand colored. Among the portraits of family members are George Wythe,RaceEuphemisms
20019208,000868032,20070919134946.0," Muse, Benjamin. http://id.loc.gov/authorities/names/n86862549 ","Benjamin Muse papers, 1919-1973.",747 items.,summary,Negro,"'s 1954 decision (1964); and The American Negro revolution: from nonviolence to Black Power, 1963-",RaceEuphemisms
20019208,000868032,20070919134946.0," Muse, Benjamin. http://id.loc.gov/authorities/names/n86862549 ","Benjamin Muse papers, 1919-1973.",747 items.,summary,race relations,travels through the South and talks with Southern leaders on race relations.,RaceEuphemisms
20019222,000868036,20110826142003.0," Moore, James Otis, 1822-1886. ","James Otis Moore papers, 1850-1888.",241 items.,summary,Colored,"the Civil War with the 22d Regiment, U. S. Colored Troops, the 3d Division Hospital, Petersburg, Va.",RaceEuphemisms
20019437,000868072,19890717000000.0," Oglesby, Thaddeus K. ","Papers, 1876-1918.","2,156 items.",summary,race relations,encyclopaedia of United States history. Includes papers relating to race relations in the South after the Civil War.,RaceEuphemisms
20019468,000868076,20140729152101.0," Orr, John M. http://id.loc.gov/authorities/names/n98060098 ","John M. Orr papers, 1774-1911 and undated.","Approx. 9,605 items (8.4 lin. ft.)",summary,racial,"work for railroads, and his interest in the Southern racial problem and in colonization as a possible solution. Includes",RaceEuphemisms
166269876,000868085,20091008142224.0," Page, Thomas Nelson, 1853-1922. http://id.loc.gov/authorities/names/n80037026 ","Thomas Nelson Page papers, 1739-1927 and undated bulk, 1885-1920.",9329 items (12.4 lin. ft.),summary,race relations,"and his interest in civic affairs, social reform and race relations in the United States, particularly during and following Reconstruction",RaceEuphemisms
166269876,000868085,20091008142224.0," Page, Thomas Nelson, 1853-1922. http://id.loc.gov/authorities/names/n80037026 ","Thomas Nelson Page papers, 1739-1927 and undated bulk, 1885-1920.",9329 items (12.4 lin. ft.),summary,race relations,"Italy. In addition, Page clipped articles referring to race relations in the United States, particularly in the South.",RaceEuphemisms
20019813,000868115,20110221101354.0," Pickens, F. W. (Francis Wilkinson), 1805-1869. http://id.loc.gov/authorities/names/n85824165 ","Papers, 1772-1868; (bulk 1809-1886).",519 items.,summary,Negro,"Committee, which discusses the decision not to employ any Negro or member of his family who fails to bring a",RaceEuphemisms
20115494,000873555,20191217110819.0," Reed, Alonzo. ","Alonzo Reed letters, 1864-1866.",".1 linear ft., 21 items.",bionote,Colored,"as a private in the 102nd Regiment Infantry, U.S. Colored Troops during the Civil War.",RaceEuphemisms
20115984,000873583,19890802000000.0," Robinson, Magnus L. http://id.loc.gov/authorities/names/n2021005799 ","Papers, 1888-1914.",33 items.,summary,Negro,of the New York Age; fraternal affairs including the Negro Odd Fellows and the Negro Masons; and Robinson's,RaceEuphemisms
20115984,000873583,19890802000000.0," Robinson, Magnus L. http://id.loc.gov/authorities/names/n2021005799 ","Papers, 1888-1914.",33 items.,summary,Negro,; fraternal affairs including the Negro Odd Fellows and the Negro Masons; and Robinson's efforts to obtain a position,RaceEuphemisms
20121167,000873689,19890803000000.0," Remick, Clarke H. ","Papers, 1863-1866.",157 items.,summary,Colored,"Ga. Regiments involved include the 1st North Carolina Volunteers (Colored Troops), and the 35th and 103d U.S. Colored",RaceEuphemisms
20121167,000873689,19890803000000.0," Remick, Clarke H. ","Papers, 1863-1866.",157 items.,summary,Colored,"Colored Troops), and the 35th and 103d U.S. Colored Troops.",RaceEuphemisms
20188746,000875845,20100623162301.0," Trimble, John A., 1801-1885. ","John A. Trimble papers, 1802-1907; (bulk 1822-1881).","2,489 items.",summary,troubles,and his disputes with members of his family over business troubles; national and Ohio economic conditions and politics; and,RaceEuphemisms
20313967,000879177,20191206075453.0, Semans family. ,"Semans family papers, 1809-2008 (bulk 1920-1991).",150 linear ft.,summary,race relations,"alumna; and other matters relating to civic needs, race relations, and the arts. The papers of Dr. James",RaceEuphemisms
20460624,000884112,20070824135451.0," Wescoat, Artha Brailsford. ","Diary, 1863-1864.",1 v. (66 p.).,summary,race relations,theatricals and foraging for food; conditions in Charleston; race relations; attacks by Union forces on the defenses of Charleston,RaceEuphemisms
20504981,000885594,19891018000000.0," Wylie, William. http://id.loc.gov/authorities/names/no2015015341 ","Letters, 1845-1863.",15 items.,summary,race relations,"of the Wylie family of South Carolina concerning politics, race relations, the Mexican War, and family matters. Civil",RaceEuphemisms
20748650,000894281,20200422111836.0," Holland, John W., http://id.loc.gov/authorities/names/n85094316 creator. ","John W. Holland letters, 1859-1876.",20 items,summary,racial,"; prices in western states; and the political and racial situation in Abbeville County, S.C., 1876.",RaceEuphemisms
20839558,000897854,20210309111041.0," Blake, Michael Francis, -1934. http://id.loc.gov/authorities/names/no2009060308 ","Michael Francis Blake photographs, circa 1912-1934.","1.0 linear ft., 243 items.",summary,racial,"however, there are also individuals who are multi-racial, and possibly Asian and white. Formats comprise 91",RaceEuphemisms
22299935,000955862,19900831000000.0," United States. Army. http://id.loc.gov/authorities/names/n79063202 Infantry, 91st, (Colored), 1864. ","List of quartermaster's stores, 1864 May 20.",1 item.,bionote,Colored,20th Regiment Infantry Corps d'Afrique. Became 91st Regiment U.S. Colored Troops April 1864. Consolidated to 74th Regiment U.S. Colored,RaceEuphemisms
22299935,000955862,19900831000000.0," United States. Army. http://id.loc.gov/authorities/names/n79063202 Infantry, 91st, (Colored), 1864. ","List of quartermaster's stores, 1864 May 20.",1 item.,bionote,Colored,Colored Troops April 1864. Consolidated to 74th Regiment U.S. Colored Troops July 1864.,RaceEuphemisms
22300150,000955885,19900831000000.0," Stetson, Edward Gray. http://id.loc.gov/authorities/names/no2008103284 ","Letters, 1863-1866 and n.d.",15 items.,summary,colored,", efforts of the Provost Marshall to capture deserters from colored regiments, and the treatment of prisoners by Confederate troops",RaceEuphemisms
22767981,000972488,19901203000000.0," United States. http://id.loc.gov/authorities/names/n78095330 Army. Infantry Regiment, 35th, (Colored, 1864-1866. ","Muster rolls, 1865, Oct. 31-Dec. 31.",10 items (.1 lin.ft.).,bionote,Colored,"Carolina Volunteers. Changed to the 35th Regiment United States Colored Troops on February 8, 1864.",RaceEuphemisms
25911839,001058177,19920529000000.0," Gregg, J. Eli, active 19th century. ","Papers, 1837-1928.",31 items.,summary,Negro,store ledger and minutes of the Mars Bluff Anti-Negro Trading Society (1847-1848) and includes lists,RaceEuphemisms
25912861,001058220,20181119152758.0, Boyte family. ,"Boyte Family papers, 1941-2018 (bulk 1968-1977).",14.9 linear ft.,summary,racial,"of Martin Luther King, Jr. Included is material on racial unrest in Monroe, N.C.; desegregation in Prince Edward",RaceEuphemisms
25912937,001058230,20110622101740.0, United States Commission on Civil Rights. North Carolina Advisory Committee. http://id.loc.gov/authorities/names/n80004068 ,"United States Commission on Civil Rights, North Carolina Advisory Committee Papers, 1949-1962 (bulk 1957-1962).","3,900 items (5.2 linear ft.).",summary,racial,on Civil Rights. The particular focus is that of racial discrimination against and the civil rights of African-Americans,RaceEuphemisms
27257270,001076561,20080606123320.0," Lance, John Henry, 1793-1878. ","Papers, 1805-1938 (bulk 1818-1848).",9 items.,summary,Negro,J.H. Lance and Alexander Fevrier 'to hire the Creole Negro boy Cesar of the said Alexr. Fevrier for the,RaceEuphemisms
27880496,001080487,20200924112508.0, RCWMS (Organization) http://id.loc.gov/authorities/names/no2017099789 ,"Resource Center for Women and Ministry in the South records, 1939-2010.",33.5 linear feet.,summary,racism,"and lesbians in the Church, feminism, abortion, racism, and rural ministry is included. Also includes materials",RaceEuphemisms
28081358,001098614,20180827155253.0," Donnell, Minnie Gribble, creator. ","Minnie Gribble Donnell letters and membership card, 1906-1941.",10 items.,summary,Negro,life. Includes her membership card from the North Carolina Negro Teachers Association; and tax assessment letters relating to her,RaceEuphemisms
28106286,001099717,20141125125252.0," Turner, F. W., 1833- ","Diary, 1901 Dec. 26-1902 July 24.",1 item.,summary,racial,Australian labor laws. Some entries written in Australia concern racial attitudes of the time. Entries written in both Australia,RaceEuphemisms
28308706,001105581,19930622075658.0,NULL,"A Negro Camp-Meeting, [ca. 1900].",1 item.,summary,Negro,,RaceEuphemisms
28394848,001108581,20200414153114.0," Hathaway, Stephen F., creator. ","Stephen F. Hathaway letters, 1863-1866.",28 items,summary,Colored,", Texas, while stationed there with the 36th U.S. Colored Troops, and expressed his enjoyment of the area.",RaceEuphemisms
28394848,001108581,20200414153114.0," Hathaway, Stephen F., creator. ","Stephen F. Hathaway letters, 1863-1866.",28 items,bionote,Colored,", 14th Regiment, Massachusetts Volunteers and 36th United States Colored Troops.",RaceEuphemisms
28534423,001112755,19930729080325.0," Viollet, Paul. ","Manuscript maps, 1852.",3 items,summary,colored,and bodies of water. Each map is drawn in colored ink and is approximately 30 x 25 cm. The,RaceEuphemisms
30803804,001530459,20140730162128.0," Thorpe, Earl E. http://id.loc.gov/authorities/names/n50013050 ","Earl E. Thorpe papers, 1942-1990.",Approx. 1225 items (2.0 linear ft.),summary,racial,"Duke universities. Topics include student activism, teaching, racial and departmental politics on campus, and the development of",RaceEuphemisms
30803804,001530459,20140730162128.0," Thorpe, Earl E. http://id.loc.gov/authorities/names/n50013050 ","Earl E. Thorpe papers, 1942-1990.",Approx. 1225 items (2.0 linear ft.),summary,race relations,materials also touch on North Carolina and Durham politics and race relations.,RaceEuphemisms
31194651,001582979,19940929083351.0,NULL,"Draft of an official letter, [3rd cent. B.C.]","1 item : papyrus, mounted in glass, incomplete ; 15 x 17 cm.",summary,troubles,"(modern name: Fayyūm), Egypt. Concerns troubles in agricultural matters, mainly regarding irrigation. Tenant farmers",RaceEuphemisms
31421768,001616489,20190109115513.0," Agnew, Cornelius Rea, creator. ","Cornelius Rea Agnew letters, 1875-1888.",15 items.,summary,racial,"education of Seminoles at Hampton Institute, Va. and potential racial problems between Seminoles and Negroes. Letter also mentions religious",RaceEuphemisms
31421719,001616499,20190109115456.0," Dillon, Thomas, creator. ","Thomas Dillon letter, 1808 Jul. 19 and 22.",1 item.,summary,negro,"that he would consider trading the horses for a ""negro or negroes"" whom he would then sell.",RaceEuphemisms
31526786,001634339,20190109115541.0," Bell, Major, creator. ","Major Bell letters, 1853-1864.",11 items.,summary,Negro,"commenting on student interests, college life, and a Negro insurrection of 1854.",RaceEuphemisms
32141396,001694856,20121108145756.0," Weber, Hedwig. ","Anatomy drawings, 1904.",63 items.,summary,colored,"x 4"" cards. Drawings are in pencil and colored pencils; labels are in German.",RaceEuphemisms
32452446,001751739,20110204144939.0," League of Women Voters of Durham (Durham, N.C.) http://id.loc.gov/authorities/names/no2011137169 ","League of Women Voters of Durham papers, 1947-1991 and n.d.",5800 items.,summary,racial,"state politics. The papers also provide a window onto racial politics in Durham, in particular through debates over school",RaceEuphemisms
32452429,001751747,20120630162816.0," Cornwell, David. http://id.loc.gov/authorities/names/n88033683 ","David Cornwell papers, 1864-1866.",34 items.,bionote,Colored,,RaceEuphemisms
32604659,001776949,19950607092129.0," Pearson, Conrad Odell. ","Papers, 1979.",1 item. 2 cassette tapes.,summary,racial,"South, in 1933, against a state university for racial discrimination.",RaceEuphemisms
33184433,001996453,19950927094552.0," Thompson, C. C. ","Letters, [ca. 1850-1890].",ca. 100 items.,summary,race relations,"but include some comments on cotton farming, ginning, race relations, religion, morals, courtship, and marriage.",RaceEuphemisms
33429224,002017205,20210301110253.0," Hill, Viola. ","Viola Hill papers, 1909-1948 and undated, (bulk 1916-1928).",865 items.,summary,Negro,secretary of the Philadelphia branch of the National Association of Negro Musicians and her business and musical collaborations with the president,RaceEuphemisms
33429224,002017205,20210301110253.0," Hill, Viola. ","Viola Hill papers, 1909-1948 and undated, (bulk 1916-1928).",865 items.,summary,racial,"Institute of Music, an attempt allegedly denied due to racial discrimination. Some correspondence and financial paperwork concern Hill's",RaceEuphemisms
34122423,002050972,20170525144317.0," Berry, Mary J., creator. ","Mary J. Berry letters, 1945 Dec. 13.",2 items.,summary,racial,gave in Congress defending the DAR's right to practice racial segregation.,RaceEuphemisms
34300665,002067255,19960301181510.0," Woman's Christian Temperance Union (Wellesley, Mass.) ","Records, 1887-1897.",3 items.,summary,colored,"Miss S.A. Dickey (principal of a ""school for colored girls modeled on the Mt. Holyoke plan""),",RaceEuphemisms
35070864,002137114,20141204101807.0," Forwood, W. Stump (William Stump), 1830-1892. http://id.loc.gov/authorities/names/no96044897 ","W. Stump Forwood papers, 1857-1863.",71 items.,summary,Negro,", relates to questions of race, e.g. ""the Negro problem"", intermarriage and consanguinity. The mechanics of",RaceEuphemisms
35201318,002156018,20210203150637.0," Nott, Josiah C. (Josiah Clark), 1804-1873. http://id.loc.gov/authorities/names/n50065142 ","Josiah Clark Nott letters and note, 1839, 1855 and undated.",2 letters and 1 note,summary,racial,"a work by Arthur de Gobineau on the theory of racial differences, published in French in the U.S. in 1855",RaceEuphemisms
35707206,002180170,19961009170951.0," Franklin, Mrs., of Petersburg, Va. ","Diary, 1899-1907.",1 volume.,summary,Colored,"Episcopal Church, and the Central State Hospital for the Colored Insane.",RaceEuphemisms
36547504,002247848,20210310153000.0," Mangum, Hugh, 1877-1922, http://id.loc.gov/authorities/names/no2006129461 creator. ","Hugh Mangum photographs, circa 1890-1922.",10 linear feet (1141 items.),summary,racial,many African Americans and others who may be multi-racial. Hugh Mangum and his wife are present in several,RaceEuphemisms
36791115,002273862,20171206092803.0," Newbold (Family), creator. ","Nathan Carter Newbold family papers, 1848-1952.",3.5 linear ft.,summary,Negro,to his tenure as the Director of the Division of Negro Education during segregation and Jim Crow.,RaceEuphemisms
36791115,002273862,20171206092803.0," Newbold (Family), creator. ","Nathan Carter Newbold family papers, 1848-1952.",3.5 linear ft.,bionote,Negro,Nathan Carter Newbold was the Director of the Division of Negro Education for the North Carolina State Department of Public Instruction,RaceEuphemisms
36791115,002273862,20171206092803.0," Newbold (Family), creator. ","Nathan Carter Newbold family papers, 1848-1952.",3.5 linear ft.,bionote,Race Relations,as director of the Division of Cooperation in Education and Race Relations.,RaceEuphemisms
36791147,002273867,20110314094928.0, American Civil Liberties Union of North Carolina. http://id.loc.gov/authorities/names/no2008005412 ,"American Civil Liberties Union of North Carolina records, 1960-2005 and undated.","135,000 items (217.5 lin. ft.).",summary,racial,of expression (including desecration of the flag); racial inequalities and injustices; reproductive rights; women's rights,RaceEuphemisms
37687189,002342981,20190422164205.0," Grimsley, Jim, 1955- http://id.loc.gov/authorities/names/n94025802 creator. ","Jim Grimsley papers, 1970-2010.",19.75 linear ft.,summary,racism,"violence, homosexuality, the lives of young boys, racism and desegregation, and growing up in the Southern United",RaceEuphemisms
37869802,002356525,20111128110532.0," Felmet, Joseph Andrew. ","Joseph Andrew Felmet papers, 1947-1983 (bulk 1948-1950).",157 items.,summary,racial,"in activities for the protection of workers' rights and racial equality. Also included is a pamphlet entitled ""We",RaceEuphemisms
38196458,002385540,19980113174721.0," Oldham, Edward A. ","Papers, 1882-1945.",11 items.,summary,Negro,", commenting on Oldham's article, ""What the Negro Most Needs""; letters of recommendation for Oldham from",RaceEuphemisms
38196466,002385545,20190129131453.0," Howard, Christopher, 1961- ","Chris D. Howard papers, 1972-1983.",4 linear feet.,summary,racial,"the 1960s, and events related to the struggle for racial equality in Durham, N.C. The collection includes a set",RaceEuphemisms
38247404,002388066,19980123103143.0," Gruver, Esdras Stuart. ","Papers, 1938-1996 and n.d.",1587 items.,summary,racism,", salaries, and parsonages. Other conversations relate to racism and desegregation in the South, pacificism and World War",RaceEuphemisms
38247413,002388072,20170823150052.0," Segrest, Mab, 1949- http://id.loc.gov/authorities/names/n85038574 ","Mab Segrest papers, 1967-1996 and n.d.","17,625 items.",summary,Racial,"such as Center for Democratic Renewal, North Carolinians Against Racial and Religious Violence, and North Carolina Coalition for Gay",RaceEuphemisms
38247408,002388109,19980123103204.0," Stewart, Luther Caldwell, 1893- ","Papers, 1955.",1 item.,summary,Colored,"between the Methodist Episcopal Church, South, and the Colored Methodist Episcopal Church, and making an appeal on behalf",RaceEuphemisms
38247408,002388109,19980123103204.0," Stewart, Luther Caldwell, 1893- ","Papers, 1955.",1 item.,bionote,Colored,Methodist Episcopal Church,RaceEuphemisms
38744922,002421002,19980319091749.0, Meherrin Baptist Church. ,"Papers, 1866-1874.",9 items.,summary,Colored,-American member at Meherrin who transferred to the First Colored Baptist Church at Murfreesboro. These manuscripts were formerly cataloged,RaceEuphemisms
38744922,002421002,19980319091749.0, Meherrin Baptist Church. ,"Papers, 1866-1874.",9 items.,summary,Colored,"These manuscripts were formerly cataloged as the Baptist Church (Colored) Papers, 1867-1873 from Murfreesboro. Most",RaceEuphemisms
38754385,002423876,20110228134644.0," Parrish, W. K. ","Correspondence, 1890-1906 and n.d.",5 items.,summary,race relations,"from Parrish, and discusses N.C. politics, in particular race relations and white supremacy. Another letter discusses at length the",RaceEuphemisms
38929425,002434441,19980409180018.0," Hesleden, William Smith, 1773-1854. ","Liber Memorialis, 1802.",1 v.,summary,colored,", a drawing of the school of Brigg, a colored drawing of Mohrenfleth Church near Hamburg, a printed broadside",RaceEuphemisms
39100497,002448911,20130801130908.0," Ruark, Henry Gibbons, 1908-1970. http://id.loc.gov/authorities/names/n88622897 ","Henry Gibbons Ruark papers, 1938-1968.",1133 items (0.4 lin. ft.),summary,racial,the church relates to secular issues such as war and racial integration. There are some reports he made to the,RaceEuphemisms
39208664,002458572,20121101165856.0," Sturge, Joseph, 1793-1859. http://id.loc.gov/authorities/names/nr88004250 ","Joseph Sturge letters, 1830-1848.",4 items.,summary,Negro,of a letter from Sturge to A. West of the Negro Emancipation Committee concerning arrangements for a festival to commemorate the,RaceEuphemisms
39352846,002474141,19980625181327.0,NULL,"Englishman's Crimean War diary, 1854-1855.",1 v.,summary,colored,"activities, two ship lists, and a number of colored drawings, of ships, military personnel, and others",RaceEuphemisms
