eadid,bibnumber,collection_title,match_type,match_term,context_snippet,match_rule
achenbaumalvin,005638697,Alvin A. Achenbaum papers,title,Successful,"Rena Bartos),                      1974 How to Introduce and Successful New Brand, 1973 JWT Corporate (Harry Clark speech",Aggrandizement
achenbaumalvin,005638697,Alvin A. Achenbaum papers,title,Successful,"Discount,                         1985 Pricing paper, undated Program for Successful Launching of New Market Entries,                         undated Proposal to",Aggrandizement
acluofnc,002273867,American Civil Liberties Union of North Carolina records,notes,Racial,": Executive Director, Legal Director, Legislative Director, Racial Justice Fellow, Paralegal, and Office Manager. The",RaceEuphemisms
acluofnc,002273867,American Civil Liberties Union of North Carolina records,notes,racial,of expression (including desecration of the flag); racial inequalities and injustices; reproductive rights; women's rights,RaceEuphemisms
acluofnc,002273867,American Civil Liberties Union of North Carolina records,notes,racial,'s work on immigration and immigrant rights (such as racial profiling at driver checkpoints and english-only legislation),RaceEuphemisms
acluofnc,002273867,American Civil Liberties Union of North Carolina records,title,race relations,wars (and drafts) Equality before the law (race relations and minorities) Education Employment Housing Voting rights Private organizational,RaceEuphemisms
acluofnc,002273867,American Civil Liberties Union of North Carolina records,title,Indians,") Education Employment Housing Voting rights Private organizational discrimination American Indians Court proceedings: discrimination against Negroes, indigents and                     ",RaceTerms
acluofnc,002273867,American Civil Liberties Union of North Carolina records,title,Indians,", 1969-1984 Greensboro, 1977-1984 Cherokee Indians of Hoke Cumulative Membership Income (CMI) Committee rosters",RaceTerms
acluofnc,002273867,American Civil Liberties Union of North Carolina records,title,Racial,", 1986-1993 Race, 1991-1994 (Racial Justice Act, affirmative action, and                   reparations)",RaceEuphemisms
acluofnc,002273867,American Civil Liberties Union of North Carolina records,title,Racial,"parks, etc.) Publications, articles, NCCLU Racial discrimination Raleigh Chapter Real property Religious Requests for briefs Rights",RaceEuphemisms
acluofnc,002273867,American Civil Liberties Union of North Carolina records,title,Indians,special learning needs Robeson County Board of Education Robeson County Indians Salary garnishment for National Defense Student Loans School prayer cases,RaceTerms
acluofnc,002273867,American Civil Liberties Union of North Carolina records,title,racial,"Conscientious objection Gender discrimination Freedom of press Housing discrimination, racial discrimination Residency-election Prisoner's rights, illegal detention",RaceEuphemisms
acluofnc,002273867,American Civil Liberties Union of North Carolina records,title,Racial,"Imprisonment for nonpayment of fines and court costs Conscientious objection Racial discrimination Disturbing the peace Inquisition case, freedom of speech",RaceEuphemisms
acluofnc,002273867,American Civil Liberties Union of North Carolina records,title,racial,"Long hair in schools Discriminatory enforcement Right to counsel, racial discrimination Freedom of speech, academic freedom Power of convening",RaceEuphemisms
acluofnc,002273867,American Civil Liberties Union of North Carolina records,title,racial,"schools Illegal dismissal Grand jury selection, due process, racial discrimination, prisoners'                   rights: Affidavits Correspondence Memoranda",RaceEuphemisms
acluofnc,002273867,American Civil Liberties Union of North Carolina records,title,Racial,and statements) Illegal imprisonment Conscientious objection Case subject unknown Racial discrimination against whites Denial of admission to NC State University,RaceEuphemisms
acluofnc,002273867,American Civil Liberties Union of North Carolina records,title,Racial,children Property settlement Double jeopardy False arrest Wrongful termination Redisctricting Racial discrimination Inability to pay filing fee for political office candidacy,RaceEuphemisms
acluofnc,002273867,American Civil Liberties Union of North Carolina records,title,racial,"composition NCSU religious non-solicitation The Charlotte Three, racial discrimination Citizens Against Nuclear Power Selling newspapers at a public",RaceEuphemisms
acluofnc,002273867,American Civil Liberties Union of North Carolina records,title,Racial,"Socialist Wrongful termination, 1st amendment Wrongful termination Child neglect Racial discrimination Unlawful imprisonment Censorship Declined request for assistance Request for",RaceEuphemisms
acluofnc,002273867,American Civil Liberties Union of North Carolina records,title,Racial,", religious discrimination Unlawful imprisonment Unlawful imprisonment, habeas corpus Racial discrimination, seat numbering law Prisoner treatment, rape Malpractice",RaceEuphemisms
acluofnc,002273867,American Civil Liberties Union of North Carolina records,title,racial,"mentally ill"" Alleged rape Discrimination by beauty shop, racial discrimination Prisoner treatment Medicare claims UNC-C, policy",RaceEuphemisms
acluofnc,002273867,American Civil Liberties Union of North Carolina records,title,spouse,a woman's former husband Support for dependent children/spouse Unlawful search and seizure Discrimination against 3rd parties Assault on,GenderTerms
acluofnc,002273867,American Civil Liberties Union of North Carolina records,title,wife,"Subseries, 1970s-1980s Case Files Loss of personal property for wife upon marriage Fired without justification Libel and slander Denied requests",GenderTerms
acluofnc,002273867,American Civil Liberties Union of North Carolina records,title,important,"1981 Legislative reports, reports on activities in general assembly important                   to NCCLU, 1981-1983 Attorney required to",Aggrandizement
acluofnc,002273867,American Civil Liberties Union of North Carolina records,title,racial,"bombing of                   black-owned business during time of racial tension, 1981-1982 Guilty plea involuntary due to",RaceEuphemisms
acluofnc,002273867,American Civil Liberties Union of North Carolina records,title,Racial,"-1982 False arrest and abuse, 1979-1981 Racial discrimination in children's homes, 1979-1981 Prisoners",RaceEuphemisms
acluofnc,002273867,American Civil Liberties Union of North Carolina records,title,racial,",                   1981-1983 Sued for blowing whistle on racial discrimination by apartment complex,                   1983 Support of state",RaceEuphemisms
acluofnc,002273867,American Civil Liberties Union of North Carolina records,title,Arab,"Retaliation for exercise of First Amendment rights, Illinois American Arab Anti-Discrimination, Comm v. Meese: resident alien",RaceTerms
acluofnc,002273867,American Civil Liberties Union of North Carolina records,title,Racial,of right to effective counsel NC obscenity statute Blood tests Racial discrimination in jury selection Sodomy laws Indigent defense Prenatal conduct,RaceEuphemisms
acluofnc,002273867,American Civil Liberties Union of North Carolina records,title,racial,medical care in prison Unlawful search and seizure Charges of racial discrimination Robeson County Clerk: sharing information over the phone,RaceEuphemisms
acluofnc,002273867,American Civil Liberties Union of North Carolina records,title,racial,phone Fayetteville: voting rights Chronic insomnia Greenfield Inn: racial discrimination Bertie County: voting rights Prisoner with Vitiligo forced,RaceEuphemisms
acluofnc,002273867,American Civil Liberties Union of North Carolina records,title,Racial,"rally Death-row inmate stabbed, charge of neglect Racial exclusion in juries Prisoner's rights Police misconduct Prisoner,",RaceEuphemisms
acluofnc,002273867,American Civil Liberties Union of North Carolina records,title,Racial,"juries Prisoner's rights Police misconduct Prisoner, medical malpractice Racial Classification Waynesville sign ordinance NCD.O.T. eye testing policy Nutrition,",RaceEuphemisms
acluofnc,002273867,American Civil Liberties Union of North Carolina records,title,Racial,counsel Questions about a capital trial Treatment of service maladies Racial discrimination Domestic rights Religious clothing in prison Student stripped searched,RaceEuphemisms
acluofnc,002273867,American Civil Liberties Union of North Carolina records,title,racial,'s Syndrome Child support case Prejudiced judge East Carolina University racial incident Sentencing involved discrimination over HIV status Insurance cancellation Held,RaceEuphemisms
acluofnc,002273867,American Civil Liberties Union of North Carolina records,title,Racial,"in jail without probable cause Sexual discrimination 1990s Cases Files Racial profiling, 1990 Due process, 1990 Due process,",RaceEuphemisms
acluofnc,002273867,American Civil Liberties Union of North Carolina records,title,racial,"of emergency services                   coordinator, 1990 Accused rapist denied racial balance on grand jury, 1988-1989 Prisoners'",RaceEuphemisms
acluofnc,002273867,American Civil Liberties Union of North Carolina records,title,Racial,"at schools, 1990 Collection of race information, 1991 Racial classification Racial classification, 1990 Young Lawyer Division: Prison",RaceEuphemisms
acluofnc,002273867,American Civil Liberties Union of North Carolina records,title,Racial,", 1990 Collection of race information, 1991 Racial classification Racial classification, 1990 Young Lawyer Division: Prison Committee Civil",RaceEuphemisms
acluofnc,002273867,American Civil Liberties Union of North Carolina records,title,Aliens,"Division: Prison Committee Civil rights cases: 1988 term Aliens and guns False arrest Drug raid, discrimination Spanish speaking",RaceTerms
acluofnc,002273867,American Civil Liberties Union of North Carolina records,title,racial,"Property forfeiture School search Libel Illegal search Loan denial, racial discrimination Police misconduct Haywood County personnel policy Pender County:",RaceEuphemisms
acluofnc,002273867,American Civil Liberties Union of North Carolina records,title,Racial,"to minors Richmond County Radioactive Waste Humanist Counselor Death penalty Racial discrimination Garner Police, use of force High Point and",RaceEuphemisms
acluofnc,002273867,American Civil Liberties Union of North Carolina records,title,Racial,"students Off campus student speech ACLU, agreements and policies Racial profiling Public school disc.: anonymous internet issue Prison",RaceEuphemisms
acluofnc,002273867,American Civil Liberties Union of North Carolina records,title,Racial,"Oversize Material] Buncombe school board policy unconstitutional, 2002 Racial profiling Racial profiling Governmental immunity Northwestern Regional Library: internet",RaceEuphemisms
acluofnc,002273867,American Civil Liberties Union of North Carolina records,title,Racial,"] Buncombe school board policy unconstitutional, 2002 Racial profiling Racial profiling Governmental immunity Northwestern Regional Library: internet filter policy",RaceEuphemisms
acluofnc,002273867,American Civil Liberties Union of North Carolina records,title,racial,Dog-limit ordinances Dress code/uniform complaints DWB racial profiling complaints DWB statistics gathering Law Experts - police and,RaceEuphemisms
acluofnc,002273867,American Civil Liberties Union of North Carolina records,title,Hispanics,"Intern Projects Blakely issue, 2004 Alamance County mistreatment of Hispanics, 2003 Complaint of unreasonable demands by Mint Hill,",RaceTerms
acluofnc,002273867,American Civil Liberties Union of North Carolina records,title,Ethnic,", Raleigh panhandling ordinance Mecklenberg County Bar: Establishment Clause Ethnic profiling at Charlotte Airport New Bern: Ten Commandments Summer",RaceTerms
acluofnc,002273867,American Civil Liberties Union of North Carolina records,title,racial,"Summer internships Lam, Hoang Legal Committee confidentiality memo Asheville racial profiling, 2003 See You At The Pole, Canton",RaceEuphemisms
acluofnc,002273867,American Civil Liberties Union of North Carolina records,title,Racial,"Private Prisons Immunization waiver at NC School for the Arts Racial profiling at RDU Intern, letters of recommendation Intern,",RaceEuphemisms
acluofnc,002273867,American Civil Liberties Union of North Carolina records,title,racial,"Alternative School, illegal search of students Denied loan, racial discrimination Henderson middle school search policy Graduation prayer Orange High",RaceEuphemisms
acluofnc,002273867,American Civil Liberties Union of North Carolina records,title,Racial,"team Death penalty, articles Cabarrus County, bible classes Racial justice Affiliate chapters relations policy Ten Commandments in school Legal",RaceEuphemisms
acluofnc,002273867,American Civil Liberties Union of North Carolina records,title,Squaw,"Juvenile first degree rape and first degree burglary, 1997 Squaw, offensive school mascot, 1998 Religious radio and car",RaceTerms
acluofnc,002273867,American Civil Liberties Union of North Carolina records,title,Racial,", unlicensed police offender and criminal record,                 1993 Racial discrimination in schools, 1993 Elementary school re-roofing",RaceEuphemisms
acluofnc,002273867,American Civil Liberties Union of North Carolina records,title,racial,"and seizure and HIV testing, 1992 Triangle Swim Club racial discrimination, 1992 Police conduct, 1990 HIV testing,",RaceEuphemisms
adamsmarthao,007754732,Martha O. Adams papers,notes,influential,"with retreats, workshops and speaking engagements, research about influential female figures and her involvement in issues such as reproductive",Aggrandizement
adamsmarthao,007754732,Martha O. Adams papers,notes,influential,and other subjects. Consists of Adams' research about influential female figures and her involvement in issues such as reproductive,Aggrandizement
adamsmarthao,007754732,Martha O. Adams papers,title,Notable,Privilege of Voting Converse College Course on Women and Religion Notable American Women Women Sketches Made in Her Image Facilitator Guide,Aggrandizement
adcouncil,002528803,Advertising Council records,title,Negro,"-1968, 1972-1976 and                      undated United Negro College Fund, 1972-1987 and undated United Service",RaceTerms
adcouncil,002528803,Advertising Council records,title,Negro,"-1968, 1972-1976 and                      undated United Negro College Fund, 1972-1987 and undated United Service",SlaveryTerms
adcouncil,002528803,Advertising Council records,title,Negro,"-1968, 1972-1976 and                      undated United Negro College Fund, 1972-1987 and undated United Service",RaceEuphemisms
adcouncil,002528803,Advertising Council records,title,Negro,"1948-1958 United America, 1948-1949 United Negro College Fund, 1978 United Service Organizations (USO)",RaceTerms
adcouncil,002528803,Advertising Council records,title,Negro,"1948-1958 United America, 1948-1949 United Negro College Fund, 1978 United Service Organizations (USO)",SlaveryTerms
adcouncil,002528803,Advertising Council records,title,Negro,"1948-1958 United America, 1948-1949 United Negro College Fund, 1978 United Service Organizations (USO)",RaceEuphemisms
adlerleon,006221935,Leon S. Adler papers,notes,successful,; the couple had two children. He was a successful manager of retail clothing stores. Adler became a Lieutenant,Aggrandizement
adlerleon,006221935,Leon S. Adler papers,notes,wife,"Adler Company business matters, and his pride in his wife's operation of the store during his absence. Once",GenderTerms
advertisingdolls,008003788,Advertising Paper Dolls collection,notes,ethnic,"; occupations; and figures in military, international and ethnic dress. Product classes represented include coffee and other beverages",RaceTerms
advertisingdolls,008003788,Advertising Paper Dolls collection,notes,Miss,'s Food; Hulman Crystal Coffee; Minneapolis Garments (Miss Minneapolis); Morton Salt (Umbrella Girl);,GenderTerms
advertisingdolls,008003788,Advertising Paper Dolls collection,notes,Miss,(Umbrella Girl); Munsingwear (Munsingwear Family; Miss Molly Munsing) Includes Nahn Bakery (Animals);,GenderTerms
advertisingdolls,008003788,Advertising Paper Dolls collection,notes,Indian,Dr. Pierce's Favorite Prescription for Weak Women; Kickapoo Indian Pills and Indian Salve; Our Little Girl Chewing Gum,RaceTerms
advertisingdolls,008003788,Advertising Paper Dolls collection,notes,Indian,Favorite Prescription for Weak Women; Kickapoo Indian Pills and Indian Salve; Our Little Girl Chewing Gum,RaceTerms
advertisingdolls,008003788,Advertising Paper Dolls collection,title,Ethnic,"Dye (Wells Richardson) Enameline (J.L. Prescott)--Flowers, Ethnic Group; Worcester Salt (Ethnic               Group) G",RaceTerms
advertisingdolls,008003788,Advertising Paper Dolls collection,title,Ethnic,"(J.L. Prescott)--Flowers, Ethnic Group; Worcester Salt (Ethnic               Group) G-L J&P Coats Lion Coffee",RaceTerms
afghanwarsphotos,004161564,Afghan Wars photographs,notes,Indian,between native Afghanis in the Mamund Valley against British and Indian army troops. The total loss of British men was,RaceTerms
aframposters,007735819,African American history marketing and promotional posters,notes,notable,posters the bulk of which consist of corporate promotions depicting notable African Americans or significant moments in African American history and,Aggrandizement
africa,002388073,Leroy T. Walker Africa News Service Archive,notes,Indian,"; social conditions in South Africa including the state of Indian South Africans; and student, Christian, and other",RaceTerms
africa,002388073,Leroy T. Walker Africa News Service Archive,notes,distinguished,""" Foreign Relations and Foreign Policy were not always clearly distinguished during the filing process. However, foreign policy focuses",Aggrandizement
africa,002388073,Leroy T. Walker Africa News Service Archive,notes,ethnic,"concern or shared interests such as weather, agriculture, ethnic groups, or resources. For example: many of",RaceTerms
africa,002388073,Leroy T. Walker Africa News Service Archive,notes,ethnic,"background information about branches of government, political parties, ethnic groups (especially African-Americans), social issues",RaceTerms
africa,002388073,Leroy T. Walker Africa News Service Archive,title,Arab,", through 1976 Foreign Relations, through 1989 Afro-Arab, through 1976, 1983-1988 France in Africa",RaceTerms
africa,002388073,Leroy T. Walker Africa News Service Archive,title,Ethnic,": Children Society: Children, African Kora Society: Ethnic Groups Society: Touareg Society: Population Sports through 1993",RaceTerms
africa,002388073,Leroy T. Walker Africa News Service Archive,title,Indian,"Horn, 1978, Mar.-1994 Refugees, 1973-1992 Indian Ocean, 1970-1991 North Africa, 1972-",RaceTerms
africa,002388073,Leroy T. Walker Africa News Service Archive,title,Ethnic,"Aug. Politics, 1978, Sept.-1989 Politics 1990-1993 Ethnic Violence, 1992-1994 Human Rights, 1988-",RaceTerms
africa,002388073,Leroy T. Walker Africa News Service Archive,title,Asians,"1994 Religion, 1973-1994 Society 1974-1989 Asians, 1970-1991 Population, 1984-1993 Sports",RaceTerms
africa,002388073,Leroy T. Walker Africa News Service Archive,title,Ethnic,"1976-1994 General, 1992-1995 History/Ethnic Background, 1978-1994 Politics, 1979-1994",RaceTerms
africa,002388073,Leroy T. Walker Africa News Service Archive,title,Racial,African Fdn.: Divestment Report South African Bureau For Racial Affairs South African Institute of International Affairs South African Institute,RaceEuphemisms
africa,002388073,Leroy T. Walker Africa News Service Archive,title,Race Relations,"South African Institute of International Affairs South African Institute Of Race Relations Pamphlets Clippings, Articles, etc Study Group On Internal",RaceEuphemisms
africa,002388073,Leroy T. Walker Africa News Service Archive,title,Blacks,"1971-1976 Media, 1977-1990 Media 1994 Blacks Citizen Die Afrikaner Forum SABC SANA Television TTP (To",RaceTerms
africa,002388073,Leroy T. Walker Africa News Service Archive,title,Indians,"Party Freedom Alliance Freedom Party Herstigte National Party Independent Party Indians Inkatha, thru 1994 Buthelezi thru 1989, 1990- Documents",RaceTerms
africa,002388073,Leroy T. Walker Africa News Service Archive,title,Ethnic,"Mar. Politics, 1977, April-1992 Politics 1993-1994 Ethnic Violence, 1993 Human Rights, 1981-1994 Open",RaceTerms
africa,002388073,Leroy T. Walker Africa News Service Archive,title,Blacks,1992 Agriculture Agriculture: Exports Banks Bibliography/Book Reviews Blacks Budget Charity Commodities Corporations through 1989 Corporate Financing Corporate Responsibility,RaceTerms
africa,002388073,Leroy T. Walker Africa News Service Archive,title,Indian,"Horn of Africa Horn of Africa Food and Security Act Indian Ocean Ivory Coast Kenya Lesotho Liberia, through 1994 Libya",RaceTerms
africa,002388073,Leroy T. Walker Africa News Service Archive,title,Indian,"Salvador, 1981-1982 Europe France Grenada Haiti India Indian Ocean Indonesia Iran, 1974-1978 Iran 1979-",RaceTerms
africa,002388073,Leroy T. Walker Africa News Service Archive,title,Revolutionary,Famine All-African News Service All African People's Revolutionary Party Amandla Production Group American African Affairs Association American African,Aggrandizement
africa,002388073,Leroy T. Walker Africa News Service Archive,title,Racism,"Association of Americans to Save Africa Austin Committee to Oppose Racism and Apartheid ""B"" BA-NAG Bishop Tutu",RaceEuphemisms
africa,002388073,Leroy T. Walker Africa News Service Archive,title,Pygmy,"in the United States Patrice Lumumba Coalition Phelps Stokes Fund Pygmy Fund ""R"" Rains (see US Groups IFCO",RaceTerms
africa,002388073,Leroy T. Walker Africa News Service Archive,title,Negro,Action Committee National Council for Black Studies National Council of Negro Women National Democratic Institute for Interational Affairs National Education Association,RaceTerms
africa,002388073,Leroy T. Walker Africa News Service Archive,title,Negro,Action Committee National Council for Black Studies National Council of Negro Women National Democratic Institute for Interational Affairs National Education Association,SlaveryTerms
africa,002388073,Leroy T. Walker Africa News Service Archive,title,Negro,Action Committee National Council for Black Studies National Council of Negro Women National Democratic Institute for Interational Affairs National Education Association,RaceEuphemisms
africa,002388073,Leroy T. Walker Africa News Service Archive,title,Revolutionary,"Christian Movement Resist Resolution Resources The Rest of the News Revolutionary Communist Party, USA (RCP) Revolutionary Student Brigade",Aggrandizement
africa,002388073,Leroy T. Walker Africa News Service Archive,title,Revolutionary,"the News Revolutionary Communist Party, USA (RCP) Revolutionary Student Brigade (Fightback) Rodale Research Center Rodale Institute",Aggrandizement
africa,002388073,Leroy T. Walker Africa News Service Archive,title,Indian,"-93 Strategy, thru 1979, 1980-94 Indian Ocean Indochina Iran Latin America L.I.C. Middle East NATO Persian",RaceTerms
africa,002388073,Leroy T. Walker Africa News Service Archive,title,Ethnic,"1989, 1990-94 House Lobbying Senate Corporations Elections Ethnic Groups Blacks, thru 1981 Blacks, 1982-1989",RaceTerms
africa,002388073,Leroy T. Walker Africa News Service Archive,title,Blacks,"1990-94 House Lobbying Senate Corporations Elections Ethnic Groups Blacks, thru 1981 Blacks, 1982-1989 Blacks,",RaceTerms
africa,002388073,Leroy T. Walker Africa News Service Archive,title,Blacks,"Lobbying Senate Corporations Elections Ethnic Groups Blacks, thru 1981 Blacks, 1982-1989 Blacks, Afrocentricity, Mutlicuturalism,",RaceTerms
africa,002388073,Leroy T. Walker Africa News Service Archive,title,Blacks,"Groups Blacks, thru 1981 Blacks, 1982-1989 Blacks, Afrocentricity, Mutlicuturalism, Latinos Native Americans Other Executive",RaceTerms
africa,002388073,Leroy T. Walker Africa News Service Archive,title,Native Americans,"1982-1989 Blacks, Afrocentricity, Mutlicuturalism, Latinos Native Americans Other Executive, thru 1975 Carter, 1976-81",RaceTerms
africa,002388073,Leroy T. Walker Africa News Service Archive,title,Blacks,"-91 1984 Senate Race Ultra Right Wing Religion Society Blacks Native Americans ""Ruling Class"" Women Universities Davidson Duke",RaceTerms
africa,002388073,Leroy T. Walker Africa News Service Archive,title,Native Americans,"91 1984 Senate Race Ultra Right Wing Religion Society Blacks Native Americans ""Ruling Class"" Women Universities Davidson Duke thru 1981",RaceTerms
africa,002388073,Leroy T. Walker Africa News Service Archive,title,Arab,'s (Non-OPEC) OAPEC (Organization of Arab Petroleum Exporting                               Countries) OPEC (Organization of Petroleum,RaceTerms
africa,002388073,Leroy T. Walker Africa News Service Archive,title,Racism,"African Programs thru 1972, 1973- ""Churches Responding to Racism in the 1980's "" Justice Et Service World Evangelical",RaceEuphemisms
africa,002388073,Leroy T. Walker Africa News Service Archive,title,Indian,"thru 1982, 1997 Chemical/Biological Weapons Disarmament Expenditures Indian Ocean, thru 1977, 1978- Intelligence Mercenaries NATO,",RaceTerms
africa,002388073,Leroy T. Walker Africa News Service Archive,title,Arab,": Non-Proliferation, thru 1977, 1978- Politics Arab League Commonwealth thru 1979, 1979- Relations with South Africa",RaceTerms
africa,002388073,Leroy T. Walker Africa News Service Archive,title,Eminent,"League Commonwealth thru 1979, 1979- Relations with South Africa Eminent Persons Group Communism Human Rights thru 1989, 1989- Indigenous",Aggrandizement
africa,002388073,Leroy T. Walker Africa News Service Archive,title,ethnic,"Communism Human Rights thru 1989, 1989- Indigenous People (ethnic conflict) PIOOM Ideologies and Philosophizing Industrialized Countries Nobel Peace",RaceTerms
africa,002388073,Leroy T. Walker Africa News Service Archive,title,Racial,"UN Peacekeeping Forces, thru 1992, 1993-94 Racial Discrimination Security Council Security Council: Debate on Armed Military",RaceEuphemisms
africa,002388073,Leroy T. Walker Africa News Service Archive,title,Racial,of                         Timor-Dili) CARE (Campaign vs. Racial Exploitation) Southern Africa Liberation Centre World: Canada Economy,RaceEuphemisms
africa,002388073,Leroy T. Walker Africa News Service Archive,title,Racial,"- Africa Groups: CARE (Citizens' Association for Racial Equality,                      Inc.) Relations with Africa, 1975",RaceEuphemisms
africa,002388073,Leroy T. Walker Africa News Service Archive,title,Anti-Slavery,                           Africa All Faiths for One Race (AFFOR) Anti-Slavery Society British Council of Churches Center for International Briefing Europe,SlaveryTerms
africa,002388073,Leroy T. Walker Africa News Service Archive,title,Slavery,All Faiths for One Race (AFFOR) Anti-Slavery Society British Council of Churches Center for International Briefing Europe,SlaveryTerms
africa,002388073,Leroy T. Walker Africa News Service Archive,title,Race Relations,"New Internationalist Observer Reuters Times Third World Quarterly Military Politics Race Relations U.S.S.R. Economy Economy, Oil Foreign Relations thru 1983 Africa",RaceEuphemisms
africa,002388073,Leroy T. Walker Africa News Service Archive,title,Arab,"Yemen Oman Qatar Saudi Arabia South Yemen Syria Turkey United Arab Emirates Persons ""A"" Abrams, Elliot Aaron,",RaceTerms
africa,002388073,Leroy T. Walker Africa News Service Archive,title,racial,", early 1970s: Articles and analysis on apartheid and racial reform News and reports on South Africa and world policy",RaceEuphemisms
africa,002388073,Leroy T. Walker Africa News Service Archive,title,racial,Africa General anti-apartheid media and materials particularly on racial                         classifications South Africa news updates South African government-,RaceEuphemisms
africa,002388073,Leroy T. Walker Africa News Service Archive,title,Coloured,", printing,                            rail, mining. Workers: Coloured and Indian, auto mechanics, dockworkers,                            doctors",RaceEuphemisms
africa,002388073,Leroy T. Walker Africa News Service Archive,title,Indian,",                            rail, mining. Workers: Coloured and Indian, auto mechanics, dockworkers,                            doctors and nurses",RaceTerms
africa,002388073,Leroy T. Walker Africa News Service Archive,title,Indian,"People of South                         Africa"" Reports on prison conditions Indian South Africans Contents of box 21, 1951-1975",RaceTerms
africa,002388073,Leroy T. Walker Africa News Service Archive,title,Indian,"Africans Contents of box 21, 1951-1975: Indian South Africans Indian Religion in South Africa Immigrants to South",RaceTerms
africa,002388073,Leroy T. Walker Africa News Service Archive,title,Indian,"box 21, 1951-1975: Indian South Africans Indian Religion in South Africa Immigrants to South Africa South Africa",RaceTerms
africa,002388073,Leroy T. Walker Africa News Service Archive,title,Indian,in                         French) South Africa Fact Sheet -- NCC Indian South Africans Publications on Africa and South Africa Miscellaneous Clippings,RaceTerms
africanamericansfilm,003110465,"African Americans in Film Collection of Press Books, Campaign Books, Advertising Manuals, and Ephemera",notes,slave,See entry for Film directed by Gillo Pontecorvo about a slave revolt on a Caribbean island early in the 19th century,SlaveryTerms
africanamericansfilm,003110465,"African Americans in Film Collection of Press Books, Campaign Books, Advertising Manuals, and Ephemera",notes,Colored,"one-legged Marvel, Steve Reynolds, and 30 Colored Cowboys. Produced in the All-Colored City of",RaceEuphemisms
africanamericansfilm,003110465,"African Americans in Film Collection of Press Books, Campaign Books, Advertising Manuals, and Ephemera",notes,Colored,"and 30 Colored Cowboys. Produced in the All-Colored City of Boley, Okla. An Epic of Wild Life",RaceEuphemisms
africanamericansfilm,003110465,"African Americans in Film Collection of Press Books, Campaign Books, Advertising Manuals, and Ephemera",notes,Colored,"Epic of Wild Life and Smoking Revolvers. All-Colored Cast. Contains an article by star Anita Bush,",RaceEuphemisms
africanamericansfilm,003110465,"African Americans in Film Collection of Press Books, Campaign Books, Advertising Manuals, and Ephemera",notes,wife,"Vietnam veteran returning home to New York to a dead wife, the victim of a drug overdose. Enlisting the",GenderTerms
africanamericansfilm,003110465,"African Americans in Film Collection of Press Books, Campaign Books, Advertising Manuals, and Ephemera",notes,wealthy,"gritty for its time, The Landlord focused on a wealthy young white lad, who buys a tenement building in",Aggrandizement
africanamericansfilm,003110465,"African Americans in Film Collection of Press Books, Campaign Books, Advertising Manuals, and Ephemera",notes,Negro,"This press book insert was especially prepared for placement in Negro newspapers. Yaphet Kotto. Bogle II, p. 233",RaceTerms
africanamericansfilm,003110465,"African Americans in Film Collection of Press Books, Campaign Books, Advertising Manuals, and Ephemera",notes,Negro,"This press book insert was especially prepared for placement in Negro newspapers. Yaphet Kotto. Bogle II, p. 233",SlaveryTerms
africanamericansfilm,003110465,"African Americans in Film Collection of Press Books, Campaign Books, Advertising Manuals, and Ephemera",notes,Negro,"This press book insert was especially prepared for placement in Negro newspapers. Yaphet Kotto. Bogle II, p. 233",RaceEuphemisms
